Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C11,MT,13543,6/19/2012,2012,6,1,1,120,18.3,1,NA,NA,NA,54,NA,2011,2011,C11,1,13543,LIdri,LIdri_MT,3
C11,MT,13543,9/10/2012,2012,9,1,1,137,25.2,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13543,LIdri,LIdri_MT,3
C10,MT,NA,6/20/2011,2011,6,1,1,106,11,1,NA,NA,NA,R662,NA,2010,2010,C10,1,13545,LIdri,LIdri_MT,3
C10,MT,13545,6/19/2012,2012,6,1,1,155,35,2,NA,1,NA,26,NA,2010,2010,C10,2,13545,LIdri,LIdri_MT,3
C11,MT,13547,6/19/2012,2012,6,1,1,119,16.6,1,NA,NA,NA,28,NA,2011,2011,C11,1,13547,LIdri,LIdri_MT,3
C11,MT,13549,6/19/2012,2012,6,1,1,131,23.1,1,NA,NA,NA,27,NA,2011,2011,C11,1,13549,LIdri,LIdri_MT,3
C11,MT,13549,9/10/2012,2012,9,1,1,156,41.6,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13549,LIdri,LIdri_MT,3
C11,MT,13551,6/19/2012,2012,6,1,1,133,24.9,1,NA,1,NA,57,NA,2011,2011,C11,1,13551,LIdri,LIdri_MT,3
C11,MT,13551,6/20/2013,2013,6,1,1,185,61.2,2,NA,NA,NA,227,NA,2011,2011,C11,2,13551,LIdri,LIdri_MT,3
C11,MT,13552,6/19/2012,2012,6,1,1,132,24.3,1,NA,1,NA,55,NA,2011,2011,C11,1,13552,LIdri,LIdri_MT,3
