Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,Comment,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
443,16934,9/13/10,9,2010,1,1,132,23,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16934
386,16936,9/13/10,9,2010,1,1,184,59,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16936
455,16936,9/14/11,9,2011,1,1,230,120,3,C08,NA,NA,NA,NA,NA,2008,2008,C08,3,16936
565,16936,9/10/12,9,2012,1,1,257,165.4,4,C08,NA,NA,NA,NA,NA,2008,2008,C08,4,16936
437,16938,9/13/10,9,2010,1,1,150,32,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16938
383,16940,9/13/10,9,2010,1,1,206,89,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,16940
438,16945,9/13/10,9,2010,1,1,191,69,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,16945
440,16948,9/13/10,9,2010,1,1,123,18,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16948
514,16948,9/14/11,9,2011,1,1,174,50,3,C08,NA,NA,NA,NA,NA,2008,2008,C08,3,16948
680,16948,9/10/12,9,2012,1,1,200,72.5,4,C08,NA,NA,NA,NA,NA,2008,2008,C08,4,16948
390,16949,9/13/10,9,2010,1,1,122,18,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16949
403,16952,9/13/10,9,2010,1,1,129,21,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16952
424,16954,9/13/10,9,2010,1,1,226,106,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,16954
512,16954,9/14/11,9,2011,1,1,227,100,4,C07,NA,NA,NA,NA,NA,2007,2007,C07,4,16954
607,16954,9/10/12,9,2012,1,1,232,112.4,5,C07,NA,NA,NA,NA,NA,2007,2007,C07,5,16954
382,16956,9/13/10,9,2010,1,1,212,97,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,16956
490,16956,9/14/11,9,2011,1,1,233,129,4,C07,NA,NA,NA,NA,NA,2007,2007,C07,4,16956
584,16956,9/10/12,9,2012,1,1,265,184.7,5,C07,NA,NA,NA,NA,NA,2007,2007,C07,5,16956
832,16956,9/2/14,9,2014,1,1,304,310.8,7,C07,NA,NA,NA,NA,NA,2007,2007,C07,7,16956
388,16957,9/13/10,9,2010,1,1,133,24,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16957
459,16957,9/14/11,9,2011,1,1,169,45,2,C09,NA,NA,NA,NA,NA,2009,2009,C09,2,16957
436,16958,9/13/10,9,2010,1,1,161,40,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16958
389,16962,9/13/10,9,2010,1,1,131,22,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16962
442,16963,9/13/10,9,2010,1,1,146,30,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16963
616,16963,9/10/12,9,2012,1,1,207,82,4,C08,NA,NA,NA,NA,NA,2008,2008,C08,4,16963
408,16965,9/13/10,9,2010,1,1,117,15,1,C09,NA,1,NA,NA,NA,2009,2009,C09,1,16965
409,16968,9/13/10,9,2010,1,1,115,14,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16968
