Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
271,17415,9/15/10,2010,9,2,2,152,35,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17415
232,17423,9/15/10,2010,9,1,2,158,37,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17423
265,17424,9/15/10,2010,9,1,2,148,32,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17424
273,17425,9/15/10,2010,9,2,2,170,46,1,C09,NA,1,NA,NA,2009,2009,C09,1,17425
268,17426,9/15/10,2010,9,2,2,230,110,2,C08,NA,1,NA,NA,2008,2008,C08,2,17426
313,17426,9/15/11,2011,9,1,2,277,213,3,C08,NA,NA,NA,NA,2008,2008,C08,3,17426
270,17427,9/15/10,2010,9,2,2,181,54,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17427
227,17428,9/15/10,2010,9,1,2,205,81,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17428
263,17429,9/15/10,2010,9,1,2,156,36,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17429
348,17429,9/15/11,2011,9,2,2,212,89.7,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17429
235,17430,9/15/10,2010,9,1,2,156,37,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17430
262,17431,9/15/10,2010,9,1,2,169,43,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17431
259,17432,9/15/10,2010,9,1,2,156,35,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17432
319,17432,9/15/11,2011,9,1,2,209,80,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17432
422,17432,9/18/12,2012,9,1,2,227,104.2,3,C09,NA,NA,NA,NA,2009,2009,C09,3,17432
266,17434,9/15/10,2010,9,1,2,159,36,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17434
317,17434,9/15/11,2011,9,1,2,230,106,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17434
411,17434,9/18/12,2012,9,1,2,253,139.7,3,C09,NA,NA,NA,NA,2009,2009,C09,3,17434
267,17435,9/15/10,2010,9,2,2,167,43,1,C09,NA,1,NA,NA,2009,2009,C09,1,17435
311,17435,9/15/11,2011,9,1,2,230,118,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17435
261,17436,9/15/10,2010,9,1,2,165,44,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17436
264,17438,9/15/10,2010,9,1,2,166,44,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17438
260,17439,9/15/10,2010,9,1,2,190,63,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17439
257,17440,9/15/10,2010,9,1,2,170,44,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17440
321,17440,9/15/11,2011,9,1,2,217,94,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17440
233,17441,9/15/10,2010,9,1,2,143,27,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17441
286,17441,9/15/11,2011,9,1,2,208,85,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17441
